type,mAP,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
test_small_32,0.07300931915519795,0.1369059745293771,nan,0.037430497485425776,0.008522727272727274,0.0,0.023809523809523808,0.045770668485108044,0.0,nan,0.07082452431289642,nan,nan,0.07142857142857144,0.05000000000000001,0.014079544137124226,0.04748376623376623,0.3411263927887969,nan,nan,0.17474827768945414,
test_medium,0.14170960717574263,0.3819573283858999,0.0979020979020979,0.2579780074078364,0.20999661236363396,0.07131119973672598,0.010058568882098294,0.23096033216233164,0.1212121212121212,0.04623809793438393,0.30094568479914474,0.0,0.044725167305812476,0.018932038834951457,0.02926211446184262,0.11357071525084422,0.22363424170653085,0.2594698065092802,nan,0.0646422542974267,0.2096861471861472,
test_big_64,0.6673596958350639,0.7180246330590678,0.7852438127247017,0.6247170081269104,0.48513328434005915,0.5180783630305155,0.7726192996280297,0.8124789150980198,0.7837086047646391,0.43858053557246446,0.6740403695259479,0.6414274539274539,0.7400875156704539,0.8385674292631946,0.7781140452046599,0.766193259234812,0.38062652877178427,0.5680344760215346,0.6633841981740409,0.7111904960731648,0.6469436884898254,
