type,mAP,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
test_small_32,0.05844016031248959,0.18701298701298702,nan,0.020380071905495633,0.0,0.0,0.008333333333333331,0.04242424242424242,0.0,nan,0.04158057851239669,nan,nan,0.030303030303030304,0.04,0.01273273609938916,0.05172413793103448,0.2529351961170143,nan,nan,0.13073593073593076,
test_medium,0.1295185974701735,0.3987261245325761,0.08542166533368879,0.2886114533566927,0.13282206722898002,0.058395160138066914,0.0055658627087198514,0.22987330321819327,0.08403361344537814,0.037125282818841414,0.22513230585957858,0.0,0.05921281783350748,0.009625668449197862,0.027128427128427127,0.11645911206543896,0.1697600415576331,0.28196086771798917,nan,0.06334310850439882,0.18765647003598812,
test_big_64,0.6775107663449214,0.757124583397532,0.7806512417877638,0.6231526314569458,0.5189281494480197,0.5328456990793335,0.7964023656348923,0.8095749839193368,0.7816518312338067,0.5080818073187197,0.6706723031316103,0.6492097050236585,0.747567800984864,0.8054344544827816,0.7769721974768684,0.7694805027831058,0.38245304856335577,0.565913603179938,0.6456088881727103,0.7421968667716972,0.6862926630514868,
