type,mAP,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
test_small_32,0.030439901139481623,0.0496320615872297,nan,0.008869179600886918,0.011988011988011988,0.0,0.0,0.016421476045040625,0.0,nan,0.03156565656565656,nan,nan,0.026315789473684206,0.0,0.009244992295839754,0.004434589800443459,0.20570338752156933,nan,nan,0.06198347107438016,
test_medium,0.12617290253106844,0.2522572299443989,0.10324221233312142,0.28512944444417915,0.13907209463898493,0.06463652428211417,0.004288164665523156,0.18889596276700843,0.07215007215007214,0.04171695876493273,0.3008799575300073,0.0,0.05854574191645091,0.013426391435500087,0.020343293070565798,0.12075696152931731,0.245508784735951,0.2761673554816448,nan,0.01785714285714286,0.19241085554338566,
test_big_64,0.703803964861712,0.7813246074208496,0.7800332881771949,0.69655001858676,0.550797157227077,0.54652218722601,0.8035400905218895,0.8377826509720907,0.8459615783508979,0.5197752787197965,0.7101233116287404,0.6860724354421964,0.8054935504018628,0.8066755661164017,0.775872904209764,0.7659632240562668,0.4293932574687049,0.5997986247524594,0.6593197112630137,0.7616862783441203,0.7133935763481448,
