type,mAP,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
test_small_32,0.05664706253186096,0.06198347107438017,nan,0.007517631558552274,0.01048951048951049,0.0,0.0,0.04312021752858035,0.0,nan,0.12191213042276874,nan,nan,0.025641025641025647,0.03571428571428572,0.012250151313771027,0.03925619834710744,0.2693602693602694,nan,nan,0.16581398399580216,
test_medium,0.12714022101689446,0.25044014996168107,0.07667799490229397,0.2262979127125371,0.1951728091728092,0.05035288247536388,0.0059526955602536985,0.23741732315528413,0.1212121212121212,0.06689367267330987,0.28593171254439625,0.0,0.08901821180986802,0.01160541586073501,0.03840619982313356,0.13305637511330332,0.19264708213655488,0.2015987675328335,nan,0.01653233364573571,0.2164505390287805,
test_big_64,0.6679996532489368,0.7493475721006055,0.7854270461209354,0.6284806481746938,0.4956085287858996,0.5023895048183203,0.7715342864027246,0.8063739149127743,0.7738616639167192,0.42811360551290134,0.6461097960460099,0.649034528572767,0.7443954179918222,0.8035258611981535,0.7590084310506727,0.7633919774769096,0.40388306031716886,0.5897389441177601,0.6341083403173349,0.7434301114019518,0.6822298257426099,
