type,mAP,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
test_small_32,0.0730211112456962,0.04742471151139881,nan,0.016780094905094904,0.009167303284950344,0.0,0.0,0.03824320148652446,0.0,nan,0.4181818181818182,nan,nan,0.030303030303030304,0.05555555555555554,0.01159357834750505,0.01039809863339275,0.2203289164041852,nan,nan,0.16431924882629106,
test_medium,0.16276333382195782,0.4223329722698459,0.12281792281792282,0.24700239695369564,0.15861175026432195,0.060611659507340224,0.013596822315683524,0.22682884174560572,0.36363636363636365,0.04533562413871656,0.3107613084141223,0.0,0.0717803834654826,0.019886363636363636,0.06444949128074026,0.11168321524194473,0.20553527280800007,0.2879662769364554,nan,0.05617402029958084,0.30349265688501276,
test_big_64,0.6701138484665241,0.7623539104149702,0.7650213813924198,0.677932031739395,0.5132294938071602,0.5139254295717735,0.7611150182564712,0.8042756533710371,0.7828871213041356,0.46353522053442675,0.6417176708184302,0.6421222004921878,0.7091491964727071,0.8309818006491632,0.7585760112522406,0.7588087404355366,0.4022836127982102,0.5670345609485162,0.6586279860506826,0.7321068637866385,0.6565930652343818,
