type,mAP,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
test_small_32,0.040919897411008654,0.06833784064905346,nan,0.030102070721026233,0.011131725417439701,0.0,0.01612903225806452,0.034598623227385765,0.0,nan,0.049783549783549784,nan,nan,0.0,0.033333333333333326,0.014248874350154764,0.021870882740447958,0.234601372532407,nan,nan,0.05874125874125874,
test_medium,0.15973022688610494,0.32221416354543286,0.09020656994965295,0.25726853093840946,0.16860670974595024,0.04778737123591798,0.010422698320787493,0.22045102143384482,0.2012987012987013,0.04872709166438586,0.37101797082316784,0.0,0.09554296278434209,0.00487012987012987,0.033205034950039174,0.11356761638714317,0.19865757655282723,0.32448774541223546,nan,0.29670329670329665,0.22983911921972974,
test_big_64,0.6743915284167384,0.7626424339057911,0.777621978074273,0.6676941212779962,0.5007573395713089,0.47751705809476486,0.7798953121758485,0.81587394376541,0.7897079611957449,0.4713243036158939,0.6371806120038641,0.62934415531028,0.7909737806575166,0.840469441202091,0.7664831765469112,0.7682353978718067,0.3844278759158784,0.6031544109153636,0.6280270936927349,0.7310488632996615,0.6654513092416293,
