,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,381,396,406,413,414,426,540,0,416,367,0,0,334,366,722,412,457,0,381,379
0,377,382,378,389,362,415,402,0,384,347,0,0,332,356,441,391,392,0,380,367
