,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,790,703,783,762,829,763,858,0,745,729,0,0,742,699,1098,728,882,0,712,801
0,786,689,755,738,777,752,720,0,713,709,0,0,740,689,817,707,817,0,711,789
