,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,187,15,216,235,62,12,1463,0,334,21,0,0,51,11,2755,266,87,0,1,164
0,183,1,188,211,10,1,1325,0,302,1,0,0,49,1,2474,245,22,0,0,152
