,aeroplane,bicycle,bird,boat,bottle,bus,car,chair,cow,dog,cat,diningtable,horse,motorbike,person,pottedplant,sheep,train,tvmonitor
0,187,48,216,235,422,120,1448,319,186,0,0,0,51,116,2680,251,342,25,164
0,183,34,188,211,370,109,1310,287,166,0,0,0,49,106,2399,230,277,24,152
