,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,389,384,396,368,425,409,592,0,389,390,0,0,365,392,735,391,458,0,359,368
0,385,370,368,344,373,398,454,0,357,370,0,0,363,382,454,370,393,0,358,356
